gene\_name & dN & dS & omega \\
b0031 & 0.007 & 0.2454 & 0.0287 \\
b0062 & 0.0066 & 0.3173 & 0.02067 \\
b0072 & 0.0031 & 0.3414 & 0.00894 \\
b0123 & 0.0177 & 0.2745 & 0.06441 \\
b0131 & 0 & 0.2121 & 0 \\
b0139 & 0.4938 & 16.721 & 0.02953 \\
b0145 & 0 & 0.029 & 0 \\
b0147 & 0.0239 & 0.1129 & 0.21218 \\
b0148 & 0.0143 & 0.3403 & 0.04204 \\
b0159 & 0 & 0.0885 & 0 \\
b0207 & 0.0347 & 0.1135 & 0.30568 \\
b0512 & 0.0156 & 0.2577 & 0.06055 \\
b0514 & 0.0093 & 0.2871 & 0.03252 \\
b0567 & 0.0207 & 0.2221 & 0.09305 \\
b0585 & 0.0351 & 0.1813 & 0.19382 \\
b0587 & 0.0914 & 0.4176 & 0.21881 \\
b0589 & 0.0238 & 0.3479 & 0.06841 \\
b0600 & 0.0158 & 0.3349 & 0.04725 \\
b0602 & 0.0082 & 0.2285 & 0.03587 \\
b0603 & 0.0432 & 1.1731 & 0.03686 \\
b0613 & 0.0281 & 0.1498 & 0.18786 \\
b0622 & 0.0146 & 0.1978 & 0.07386 \\
b0634 & 0.0014 & 0.0922 & 0.01533 \\
b0637 & 0 & 0.0966 & 0 \\
b0643 & 0.003 & 0.1436 & 0.02085 \\
b0657 & 0.0116 & 0.2507 & 0.04619 \\
b0677 & 0.0039 & 0.1319 & 0.02991 \\
b0686 & 0.0186 & 0.2144 & 0.08665 \\
b0709 & 0.0088 & 0.3132 & 0.02806 \\
b0722 & 0.009 & 0.0851 & 0.10553 \\
b0726 & 0.001 & 0.169 & 0.00584 \\
b0734 & 0 & 0.0952 & 0 \\
b0739 & 0 & 0.0552 & 0 \\
b0755 & 0 & 0.1743 & 0 \\
b0757 & 0.0026 & 0.1884 & 0.01354 \\
b0764 & 0.009 & 0.2314 & 0.03872 \\
b0796 & 0 & 0.2572 & 0 \\
b0802 & 0.0118 & 0.1627 & 0.07231 \\
b0823 & 0.0053 & 0.2402 & 0.02208 \\
b0829 & 0.0133 & 0.1243 & 0.10672 \\
b0837 & 0.018 & 0.074 & 0.24356 \\
b0848 & 0.0041 & 0.1587 & 0.02579 \\
b0862 & 0.0121 & 0.1888 & 0.06411 \\
b0866 & 0.00005 & 0.4495 & 0.00005 \\
b0867 & 0.014 & 0.2009 & 0.06947 \\
b0881 & 0 & 0.0168 & 0 \\
b0890 & 0.0027 & 0.2322 & 0.0117 \\
b0903 & 0.0015 & 0.0746 & 0.02032 \\
b0904 & 0 & 0.1349 & 0 \\
b0912 & 0 & 0.0228 & 0 \\
b0917 & 0 & 0.096 & 0 \\
b0929 & 0.0412 & 0.3697 & 0.11145 \\
b0947 & 0.0147 & 0.143 & 0.10304 \\
b0955 & 0.0133 & 0.0882 & 0.15033 \\
b0995 & 0.0043 & 0.1779 & 0.02403 \\
b1015 & 0.0046 & 0.2739 & 0.01697 \\
b1019 & 0.0114 & 0.3662 & 0.03108 \\
b1136 & 0.0034 & 0.2676 & 0.01271 \\
b1174 & 0 & 0.09 & 0 \\
b1178 & 0.01 & 0.1331 & 0.07493 \\
b1179 & 0.0082 & 0.1714 & 0.04781 \\
b1180 & 0.0047 & 0.1274 & 0.03722 \\
b1187 & 0 & 0.1347 & 0 \\
b1199 & 0.0246 & 0.1187 & 0.20708 \\
b1213 & 0.019 & 0.173 & 0.10996 \\
b1223 & 0.0031 & 0.1014 & 0.03081 \\
b1232 & 0.0034 & 0.2081 & 0.01625 \\
b1243 & 0.0072 & 0.0954 & 0.07513 \\
