gene\_name & dN & dS & omega \\
Sinme\_3699 & 0.001 & 0.0689 & 0.01381 \\
Sinme\_3701 & 0 & 0.007 & 0 \\
Sinme\_3704 & 0.0117 & 0.0595 & 0.19636 \\
Sinme\_3705 & 0.01545 & 0.06995 & 0.207905 \\
Sinme\_3706 & 0.0072 & 0.0765 & 0.09392 \\
Sinme\_3707 & 0.0242 & 0.1194 & 0.20289 \\
Sinme\_3709 & 0.00375 & 0.0757 & 0.04964 \\
Sinme\_3710 & 0.0046 & 0.033 & 0.13927 \\
Sinme\_3711 & 0.0226 & 0.0595 & 0.38007 \\
Sinme\_3712 & 0.005 & 0.1202 & 0.04143 \\
Sinme\_3713 & 0.0064 & 0.0344 & 0.18472 \\
Sinme\_3715 & 0.0071 & 0.0999 & 0.07113 \\
Sinme\_3718 & 0.0025 & 0.1536 & 0.01599 \\
Sinme\_3719 & 0.0072 & 0.0567 & 0.1276 \\
Sinme\_3721 & 0.0024 & 0.0446 & 0.05312 \\
Sinme\_3723 & 0.0088 & 0.0504 & 0.17532 \\
Sinme\_3724 & 0.0024 & 0.0509 & 0.04741 \\
Sinme\_3725 & 0.0056 & 0.0791 & 0.07109 \\
Sinme\_3726 & 0.0023 & 0.0166 & 0.13934 \\
Sinme\_3727 & 0.0016 & 0.0583 & 0.02736 \\
Sinme\_3731 & 0.0052 & 0.0424 & 0.12257 \\
Sinme\_3733 & 0.0024 & 0.0196 & 0.12421 \\
Sinme\_3734 & 0 & 0.00655 & 0 \\
Sinme\_3735 & 0.006 & 0.0186 & 0.32033 \\
Sinme\_3737 & 0.009 & 0.018 & NA \\
Sinme\_3738 & 0.00275 & 0.0513 & 0.052865 \\
Sinme\_3739 & 0.0042 & 0.0477 & 0.08905 \\
Sinme\_3740 & 0.0009 & 0.0251 & 0.03688 \\
Sinme\_3741 & 0.006 & 0.0892 & 0.06734 \\
Sinme\_3742 & 0.0117 & 0.1018 & 0.1149 \\
Sinme\_3744 & 0.0074 & 0.0932 & 0.07888 \\
Sinme\_3745 & 0.00555 & 0.0632 & 0.087885 \\
Sinme\_3746 & 0.0081 & 0.0546 & 0.14776 \\
Sinme\_3747 & 0.0081 & 0.1263 & 0.0639 \\
Sinme\_3749 & 0.0107 & 0.0195 & 0.5479 \\
Sinme\_3751 & 0.0104 & 0.0413 & 0.25038 \\
Sinme\_3752 & 0.001 & 0.0237 & 0.04348 \\
Sinme\_3754 & 0 & 0.0402 & 0 \\
Sinme\_3756 & 0.0078 & 0.0519 & 0.14988 \\
Sinme\_3757 & 0.0057 & 0.0509 & 0.11204 \\
Sinme\_3760 & 0.0149 & 0.1543 & 0.09651 \\
Sinme\_3761 & 0 & 0.0718 & 0 \\
Sinme\_3762 & 0.0032 & 0.0197 & 0.15977 \\
Sinme\_3763 & 0.0016 & 0.0412 & 0.03937 \\
Sinme\_3765 & 0 & 0.0142 & 0 \\
Sinme\_3768 & 0 & 0.0132 & 0 \\
Sinme\_3769 & 0.0096 & 0.0177 & NA \\
Sinme\_3770 & 0 & 0.0881 & 0 \\
Sinme\_3771 & 0.0054 & 0.0748 & 0.0727 \\
Sinme\_3772 & 0.00945 & 0.2333 & 0.040945 \\
Sinme\_3774 & 0.00755 & 0.17255 & 0.044465 \\
Sinme\_3775 & 0.0356 & 0.2167 & 0.158705 \\
Sinme\_3776 & 0.0089 & 0.163 & 0.05475 \\
Sinme\_3779 & 0.0182 & 0.1842 & 0.0986 \\
Sinme\_3780 & 0.017 & 0.0617 & 0.27512 \\
Sinme\_3783 & 0.02015 & 0.1643 & 0.130535 \\
Sinme\_3784 & 0.02285 & 0.2096 & 0.10811 \\
Sinme\_3785 & 0.0037 & 0.0477 & 0.07659 \\
Sinme\_3787 & 0.009325 & 0.0275 & 0.4112125 \\
Sinme\_3788 & 0.013 & 0.0886 & 0.14664 \\
Sinme\_3789 & 0 & 0.0589 & 0 \\
Sinme\_3790 & 0.00935 & 0.06395 & 0.207225 \\
Sinme\_3791 & 0.0063 & 0.0559 & 0.11339 \\
Sinme\_3792 & 0.015 & 0.1199 & 0.12503 \\
Sinme\_3794 & 0.0197 & 0.0658 & 0.29873 \\
Sinme\_3795 & 0.0215 & 0.1006 & 0.21408 \\
Sinme\_3797 & 0.0237 & 0.0933 & 0.25393 \\
Sinme\_3798 & 0.0104 & 0.0833 & 0.12457 \\
Sinme\_3799 & 0.0145 & 0.0872 & 0.16685 \\
Sinme\_3800 & 0.0114 & 0.0843 & 0.13505 \\
Sinme\_3804 & 0.0095 & 0.079 & 0.12068 \\
Sinme\_3806 & 0 & 0.0731 & 0 \\
Sinme\_3808 & 0.0053 & 0.0379 & 0.14081 \\
Sinme\_3809 & 0.014 & 0.026 & 0.53841 \\
Sinme\_3810 & 0.0008 & 0.0237 & 0.03392 \\
Sinme\_3812 & 0.004 & 0.0118 & 0.33915 \\
Sinme\_3813 & 0.0045 & 0.0109 & 0.41189 \\
Sinme\_3814 & 0.0147 & 0.08975 & 0.208025 \\
Sinme\_3815 & 0.0017 & 0.0556 & 0.03073 \\
Sinme\_3816 & 0.0021 & 0.0409 & 0.05197 \\
Sinme\_3818 & 0.0011 & 0.0982 & 0.0116 \\
Sinme\_3820 & 0.0034 & 0.0459 & 0.0751 \\
Sinme\_3822 & 0.0042 & 0.0082 & NA \\
Sinme\_3823 & 0.0025 & 0.0312 & 0.08104 \\
Sinme\_3825 & 0.0012 & 0.0161 & 0.07398 \\
Sinme\_3826 & 0 & 0.0328 & 0 \\
Sinme\_3828 & 0.005 & 0.063 & 0.07873 \\
Sinme\_3829 & 0.0073 & 0.0241 & 0.30439 \\
Sinme\_3831 & 0.0074 & 0.0901 & 0.08232 \\
Sinme\_3833 & 0.00766666666666667 & 0.118133333333333 & 0.0521833333333333 \\
Sinme\_3834 & 0.0082 & 0.0473 & 0.17352 \\
Sinme\_3836 & 0.00356666666666667 & 0.0856333333333333 & 0.0426233333333333 \\
Sinme\_3837 & 0.0082 & 0.037 & 0.22157 \\
Sinme\_3840 & 0 & 0.437 & 0 \\
Sinme\_3841 & 0.0034 & 0.0622 & 0.05462 \\
Sinme\_3842 & 0.0105 & 0.1289 & 0.08183 \\
Sinme\_3843 & 0 & 0.1273 & 0 \\
Sinme\_3844 & 0.0016 & 0.1614 & 0.00998 \\
Sinme\_3845 & 0.0137 & 0.0135 & 1.01388 \\
Sinme\_3846 & 0 & 0.0223 & 0 \\
Sinme\_3848 & 0.0034 & 0.0229 & 0.15066 \\
Sinme\_3849 & 0 & 0.3041 & 0 \\
Sinme\_3850 & 0.0552 & 0.2826 & 0.19529 \\
Sinme\_3864 & 0.0018 & 0.1903 & 0.00954 \\
Sinme\_3865 & 0 & 0.1397 & 0 \\
Sinme\_3867 & 0.031 & 0.23695 & 0.11341 \\
Sinme\_3868 & 0.0061 & 0.1094 & 0.05588 \\
Sinme\_3871 & 0.0063 & 0.0617 & 0.10154 \\
Sinme\_3872 & 0.001 & 0.0685 & 0.02832 \\
Sinme\_3873 & 0 & 0.0335 & 0 \\
Sinme\_3874 & 0 & 0.0759 & 0 \\
Sinme\_3875 & 0.0103 & 0 & NA \\
Sinme\_3877 & 0.00315 & 0.10735 & 0.069795 \\
Sinme\_3878 & 0.0095 & 0.1621 & 0.05833 \\
Sinme\_3880 & 0.0072 & 0.0264 & 0.27356 \\
Sinme\_3881 & 0.00863333333333333 & 0.0772666666666667 & 0.122666666666667 \\
Sinme\_3882 & 0.0043 & 0.0292 & 0.14783 \\
Sinme\_3884 & 0.0169 & 0.0647 & 0.2603 \\
Sinme\_3885 & 0.0018 & 0.1195 & 0.01491 \\
Sinme\_3886 & 0.00745 & 0.16 & 0.0411 \\
Sinme\_3887 & 0 & 0.0456 & 0 \\
Sinme\_3888 & 0.0022 & 0.0446 & 0.05038 \\
Sinme\_3890 & 0.0066 & 0.0303 & 0.21855 \\
Sinme\_3891 & 0 & 0.0144 & 0 \\
Sinme\_3892 & 0.0071 & 0.032 & 0.22088 \\
Sinme\_3893 & 0.0027 & 0.066 & 0.04151 \\
Sinme\_3895 & 0.00225 & 0.05075 & 0.048035 \\
Sinme\_3896 & 0 & 0 & 0 \\
Sinme\_3897 & 0.0139 & 0.06425 & 0.195915 \\
Sinme\_3899 & 0.0017 & 0.0656 & 0.02651 \\
Sinme\_3901 & 0.0141 & 0.092 & 0.15335 \\
Sinme\_3903 & 0.0024 & 0.0451 & 0.05237 \\
Sinme\_3904 & 0.0099 & 0.027 & 0.36719 \\
Sinme\_3905 & 0.0028 & 0.0616 & 0.04486 \\
Sinme\_3906 & 0.0026 & 0.008 & 0.3228 \\
Sinme\_3907 & 0 & 0.0064 & 0 \\
Sinme\_3909 & 0.001 & 0.0033 & 0.29821 \\
Sinme\_3910 & 0.0018 & 0.0122 & 0.1443 \\
Sinme\_3911 & 0.0029 & 0 & NA \\
Sinme\_3912 & 0 & 0 & 0 \\
Sinme\_3914 & 0.0071 & 0 & NA \\
Sinme\_3915 & 0.005 & 0 & NA \\
Sinme\_3916 & 0 & 0.01885 & 0 \\
Sinme\_3918 & 0.0041 & 0.0076 & 0.5421 \\
Sinme\_3920 & 0.0093 & 0.0669 & 0.1392 \\
Sinme\_3921 & 0 & 0.0448 & 0 \\
Sinme\_3922 & 0.0014 & 0.0519 & 0.02783 \\
Sinme\_3923 & 0.001 & 0.0367 & 0.02844 \\
Sinme\_3924 & 0.0133 & 0.1446 & 0.09229 \\
Sinme\_3925 & 0.0119 & 0.08215 & 0.18973 \\
Sinme\_3926 & 0.005 & 0.0318 & 0.15722 \\
Sinme\_3927 & 0.0023 & 0.0125 & 0.1863 \\
Sinme\_3928 & 0.0085 & 0.0372 & 0.22918 \\
Sinme\_3929 & 0.0046 & 0.0257 & 0.17756 \\
Sinme\_3930 & 0.011 & 0.055 & 0.19925 \\
Sinme\_3931 & 0.0102 & 0.0458 & 0.22269 \\
Sinme\_3932 & 0.0069 & 0.0908 & 0.07604 \\
Sinme\_3933 & 0 & 0.0045 & 0 \\
Sinme\_3934 & 0 & 0.0048 & 0 \\
Sinme\_3935 & 0.003 & 0.0131 & 0.2285 \\
Sinme\_3938 & 0.0035 & 0.0266 & 0.13109 \\
Sinme\_3939 & 0 & 0 & 0 \\
Sinme\_3940 & 0 & 0 & 0 \\
Sinme\_3941 & 0.001 & 0.0073 & 0.1392 \\
Sinme\_3942 & 0 & 0.0147 & 0 \\
Sinme\_3943 & 0.0024 & 0 & NA \\
Sinme\_3944 & 0.0102 & 0.132 & 0.0775 \\
Sinme\_3946 & 0 & 0.0052 & 0 \\
Sinme\_3948 & 0.0106 & 0.064 & 0.16511 \\
Sinme\_3951 & 0.0017 & 0.0115 & 0.15138 \\
Sinme\_3952 & 0.0045 & 0 & NA \\
Sinme\_3953 & 0 & 0.02255 & 0 \\
Sinme\_3954 & 0 & 0.0274 & 0 \\
Sinme\_3955 & 0.001 & 0.0044 & 0.23333 \\
Sinme\_3956 & 0.0012 & 0.0144 & 0.08223 \\
Sinme\_3957 & 0.0035 & 0.0215 & 0.16188 \\
Sinme\_3959 & 0.00785 & 0.09445 & 0.077255 \\
Sinme\_3960 & 0.0059 & 0.0857 & 0.06854 \\
Sinme\_3961 & 0.0022 & 0.0069 & 0.31824 \\
Sinme\_3962 & 0 & 0 & 0 \\
Sinme\_3964 & 0.00455 & 0.01685 & 0.28468 \\
Sinme\_3967 & 0.0046 & 0.0362 & 0.12838 \\
Sinme\_3969 & 0.0101 & 0.0407 & 0.24864 \\
Sinme\_3970 & 0.0097 & 0.0094 & 1.03608 \\
Sinme\_3971 & 0.0034 & 0.0506 & 0.06768 \\
