gene\_name & dN & dS & omega \\
B657\_RS21020 & 0.0198 & 0.3709 & 0.05341 \\
B657\_RS21130 & 0.01665 & 0.14565 & 0.110055 \\
B657\_RS21135 & 0.03355 & 0.497 & 0.06602 \\
B657\_RS21140 & 0.0687 & 0.64175 & 0.10724 \\
B657\_RS21170 & 0.0324 & 0.416533333333333 & 0.07838 \\
B657\_RS21175 & 0.02295 & 0.2772 & 0.106485 \\
B657\_RS21180 & 0.0039 & 0.202 & 0.01934 \\
B657\_RS21185 & 0.0089 & 0.3754 & 0.02359 \\
B657\_RS21190 & 0.0097 & 0.26345 & 0.03468 \\
B657\_RS21195 & 0.04755 & 0.9777 & 0.048235 \\
B657\_RS21200 & 0.0616 & 0.48 & 0.12842 \\
B657\_RS21205 & 0.05475 & 0.51925 & 0.10833 \\
B657\_RS21210 & 0.0957 & 0.5554 & 0.17224 \\
B657\_RS21215 & 0.0628 & 0.3043 & 0.20636 \\
B657\_RS21220 & 0.06955 & 0.3059 & 0.24682 \\
B657\_RS21225 & 0.0283 & 0.2916 & 0.09705 \\
B657\_RS21230 & 0.0141 & 0.1901 & 0.07427 \\
B657\_RS21240 & 0.0254333333333333 & 0.468166666666667 & 0.0644633333333333 \\
B657\_RS21245 & 0.0471 & 0.2284 & 0.20622 \\
B657\_RS21255 & 0.0589 & 0.3145 & 0.18483 \\
B657\_RS21260 & 0.011 & 0.3412 & 0.03212 \\
B657\_RS21265 & 0.0134 & 0.1976 & 0.06761 \\
B657\_RS21270 & 0.0247 & 0.2268 & 0.1089 \\
B657\_RS21275 & 0.0176 & 0.1524 & 0.11555 \\
B657\_RS21285 & 0.0165 & 0.1789 & 0.09251 \\
B657\_RS21300 & 0.0851333333333333 & 1.7132 & 0.0528166666666667 \\
B657\_RS21310 & 0.02 & 0.1743 & 0.11492 \\
B657\_RS21315 & 0.0114 & 0.2678 & 0.04261 \\
B657\_RS21320 & 0.0137 & 0.3752 & 0.03661 \\
B657\_RS21325 & 0.026 & 0.2968 & 0.08763 \\
B657\_RS21340 & 0.02495 & 0.27115 & 0.08777 \\
B657\_RS21345 & 0.0134 & 0.3324 & 0.04036 \\
B657\_RS21350 & 0.0179 & 0.2686 & 0.0665 \\
B657\_RS21355 & 0.0208 & 0.2422 & 0.08597 \\
B657\_RS21360 & 0.0108 & 0.3264 & 0.03319 \\
B657\_RS21365 & 0.0059 & 0.2287 & 0.02591 \\
B657\_RS21390 & 0.0403666666666667 & 0.4546 & 0.09046 \\
B657\_RS21395 & 0.0197 & 0.5549 & 0.03548 \\
