gene\_name & dN & dS & omega \\
SCO0107 & 0.0023 & 0.0087 & 0.26898 \\
SCO0110 & 0.0073 & 0.0373 & 0.19624 \\
SCO0118 & 0.003 & 0.0333 & 0.09116 \\
SCO0129 & 0.0037 & 0.02 & 0.18589 \\
SCO0130 & 0 & 0.0449 & 0 \\
SCO0136 & 0.0015 & 0.0259 & 0.05951 \\
SCO0142 & 0.0006 & 0 & NA \\
SCO0158 & 0.0038 & 0.0179 & 0.21374 \\
SCO0160 & 0 & 0.0171 & 0 \\
SCO0171 & 0.001 & 0.0392 & 0.02427 \\
SCO0172 & 0.0061 & 0.0082 & 0.75086 \\
SCO0174 & 0.0058 & 0.02 & 0.28888 \\
SCO0177 & 0.0022 & 0 & NA \\
SCO0180 & 0 & 0.0069 & 0 \\
SCO0181 & 0.0027 & 0 & NA \\
SCO0182 & 0.0125 & 0.1816 & 0.06866 \\
SCO0183 & 0.009 & 0.0455 & 0.19688 \\
SCO0186 & 0.0031 & 0.0079 & 0.39141 \\
SCO0191 & 0.0037 & 0.0293 & 0.12525 \\
SCO0200 & 0 & 0 & 0 \\
SCO0201 & 0 & 0 & 0 \\
SCO0218 & 0.0043 & 0.0203 & 0.21318 \\
SCO0232 & 0.0369 & 0.0517 & 0.71412 \\
SCO0233 & 0.0014 & 0.022 & 0.06583 \\
SCO0256 & 0.0028 & 0.0142 & 0.19485 \\
SCO0275 & 0 & 0 & 0 \\
SCO0276 & 0 & 0.0304 & 0 \\
SCO0281 & 0 & 0.0166 & 0 \\
SCO0282 & 0 & 0.0175 & 0 \\
SCO0283 & 0.0028 & 0 & NA \\
SCO0284 & 0.0021 & 0.0435 & 0.04933 \\
SCO0290 & 0 & 0.0096 & 0 \\
SCO0291 & 0.0013 & 0.0176 & 0.0735 \\
SCO0301 & 0.0023 & 0 & NA \\
SCO0305 & 0.0008 & 0.0104 & 0.07917 \\
SCO0313 & 0 & 0 & 0 \\
SCO0373 & 0.0104 & 0.0142 & 0.7367 \\
SCO0374 & 0.002 & 0.0125 & 0.15937 \\
SCO0392 & 0.0009 & 0.0111 & 0.0795 \\
SCO0409 & 0 & 0 & 0 \\
SCO0438 & 0.0016 & 0.0911 & 0.01802 \\
SCO0462 & 0.0027 & 0 & NA \\
SCO0475 & 0 & 0.0469 & 0 \\
SCO0476 & 0.0032 & 0.0155 & 0.2089 \\
SCO0477 & 0 & 0.0296 & 0 \\
SCO0479 & 0.0106 & 0.0302 & 0.35076 \\
SCO0487 & 0.0023 & 0 & NA \\
SCO0507 & 0.0087 & 0.0179 & 0.484 \\
SCO0511 & 0.006 & 0 & NA \\
SCO0512 & 0 & 0.0148 & 0 \\
SCO0517 & 0.0077 & 0 & NA \\
SCO0519 & 0 & 0 & 0 \\
SCO0540 & 0.0026 & 0 & NA \\
SCO0544 & 0 & 0.0151 & 0 \\
SCO0546 & 0.0014 & 0.0542 & 0.02658 \\
SCO0553 & 0.0066 & 0.0765 & 0.08684 \\
SCO0563 & 0 & 0.019 & 0 \\
SCO0566 & 0 & 0 & 0 \\
SCO0577 & 0 & 0.0655 & 0 \\
